Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
X-332 Sport,Fin Keel w/bulb,Fractional Sloop,33.00 ft / 10.06 m,28.92 ft / 8.81 m,568.00 ft² / 52.77 m²,10.83 ft / 3.30 m,"9,038.00 lb / 4,100 kg","3,086.00 lb / 1,400 kg",7.10 ft / 2.16 m,FG w/Divinycell core,NA,1994,NA,NA,X Yachts (DEN),Niels Jeppesen,NA,NA,NA
X-362 Classic,Fin Keel w/bulb,Masthead Sloop,35.10 ft / 10.70 m,30.42 ft / 9.27 m,665.00 ft² / 61.78 m²,11.42 ft / 3.48 m,"12,320.00 lb / 5,588 kg","5,170.00 lb / 2,345 kg",6.20 ft / 1.89 m,FG,NA,1993,2003,93,X Yachts (DEN),Niels Jeppesen,NA,NA,NA
Sun Fast 17 (Jeanneau),Centerboard (Trunk),Fractional Sloop,16.57 ft / 5.05 m,15.09 ft / 4.60 m,145.00 ft² / 13.47 m²,7.55 ft / 2.30 m,"1,323.00 lb / 600 kg",276.00 lb / 125 kg,3.28 ft / 1.00 m,FG,NA,1994,NA,NA,Jeanneau (FRA),Jacek Centkowski,0.82 ft / 0.25 m,NA,NA
Landfall 39 (Amy),Long Keel,Cutter,39.16 ft / 11.94 m,30.58 ft / 9.32 m,811.00 ft² / 75.34 m²,11.50 ft / 3.51 m,"23,500.00 lb / 10,659 kg","8,800.00 lb / 3,992 kg",5.58 ft / 1.70 m,FG,Iron,1974,1984,200,"Sino American Yacht Industrial Co., Ltd.(TAIWAN)",Ron Amy,NA,NA,NA
Voyager 38 (Trident),Fin Keel,Masthead Ketch,38.00 ft / 11.58 m,31.33 ft / 9.55 m,NA,13.00 ft / 3.96 m,"16,800.00 lb / 7,620 kg","6,520.00 lb / 2,957 kg",5.00 ft / 1.52 m,FG,NA,1982,NA,NA,Trident Marine Ltd. (UK),Angus Primrose,NA,NA,NA
Voyager 40 (Trident),Fin Keel,Masthead Sloop,39.33 ft / 11.99 m,31.25 ft / 9.53 m,824.00 ft² / 76.55 m²,13.00 ft / 3.96 m,"18,736.00 lb / 8,499 kg","7,716.00 lb / 3,500 kg",5.00 ft / 1.52 m,FG,NA,1985,NA,NA,Trident Marine (UK),Bill Dixon/Angus Primrose,NA,NA,NA
Carter 35 (Luna Rig),Swing Keel,NA,34.67 ft / 10.57 m,27.83 ft / 8.48 m,NA,11.00 ft / 3.35 m,"9,300.00 lb / 4,218 kg","4,000.00 lb / 1,814 kg",6.00 ft / 1.83 m,FG,NA,1982,NA,NA,NA,Dick Carter,1.75 ft / 0.53 m,NA,NA
Grampian 37 (Porter & Haylett),Fin Keel,Masthead Sloop,36.83 ft / 11.23 m,29.25 ft / 8.92 m,NA,10.50 ft / 3.20 m,"13,228.00 lb / 6,000 kg","6,173.00 lb / 2,800 kg",5.25 ft / 1.60 m,FG,Lead,1979,NA,NA,Porter & Haylett (UK),McGruer,NA,NA,NA
Warrior 40,Fin with rudder on skeg,Cutter,39.37 ft / 12.00 m,31.27 ft / 9.53 m,NA,12.99 ft / 3.96 m,"18,739.00 lb / 8,500 kg","8,267.00 lb / 3,750 kg",5.00 ft / 1.52 m,FG,Iron,1988,NA,NA,Trident Marine Ltd. (UK),Angus Primrose/Bill Dixon,NA,NA,NA
Endeavour 26 (Aus),Fin Keel,Masthead Sloop,26.00 ft / 7.92 m,22.00 ft / 6.71 m,380.00 ft² / 35.30 m²,7.50 ft / 2.29 m,"5,040.00 lb / 2,286 kg","2,100.00 lb / 953 kg",4.33 ft / 1.32 m,FG,NA,1969,1983,126,Reg Gardner - Endeavour Yachts (AUS),Reg Gardner,NA,NA,NA
Hunter 490 (Lee),Lifting Keel,Fractional Sloop,16.08 ft / 4.90 m,14.00 ft / 4.27 m,118.00 ft² / 10.96 m²,6.59 ft / 2.01 m,"1,000.00 lb / 454 kg",300.00 lb / 136 kg,3.25 ft / 0.99 m,FG,NA,1972,1977,NA,Hunter Boats Ltd.(UK),Oliver Lee,1.51 ft / 0.46 m,NA,NA
Hunter Horizon 26,Fin w/transom hung rudder,Fractional Sloop,26.34 ft / 8.03 m,20.67 ft / 6.30 m,NA,9.00 ft / 2.74 m,"4,564.00 lb / 2,070 kg",NA,5.00 ft / 1.52 m,FG,NA,1984,1988,159,Hunter Boats Ltd. (UK),David Thomas,NA,NA,NA
Hunter Horizon 21,Fin w/transom hung rudder,Fractional Sloop,20.93 ft / 6.38 m,17.78 ft / 5.42 m,170.00 ft² / 15.79 m²,7.38 ft / 2.25 m,"2,403.00 lb / 1,090 kg","1,080.00 lb / 490 kg",3.74 ft / 1.14 m,FG,NA,1992,1996,50,Hunter Boats Ltd. (UK),David Thomas,NA,NA,NA
Ranger 265 (Thomas),Twin Keel,Fractional Sloop,25.00 ft / 7.62 m,22.34 ft / 6.81 m,299.00 ft² / 27.78 m²,9.17 ft / 2.80 m,"5,710.00 lb / 2,590 kg","2,116.00 lb / 960 kg",3.44 ft / 1.05 m,FG,NA,1994,1999,96,Hunter Boats Ltd. (UK),David Thomas,NA,NA,NA
First 260 Spirit (Beneteau),Keel/CB w/dual rudders,Fractional Sloop,24.57 ft / 7.49 m,24.11 ft / 7.35 m,349.00 ft² / 32.42 m²,9.06 ft / 2.76 m,"4,740.00 lb / 2,150 kg","1,433.00 lb / 650 kg",6.07 ft / 1.85 m,FG,NA,1994,NA,500,Beneteau (FRA),Groupe Finot,2.79 ft / 0.85 m,NA,NA
First 25.7 (Beneteau),Keel/CB w/dual rudders,Fractional Sloop,24.57 ft / 7.49 m,24.11 ft / 7.35 m,400.00 ft² / 37.16 m²,9.06 ft / 2.76 m,"4,740.00 lb / 2,150 kg","1,433.00 lb / 650 kg",6.07 ft / 1.85 m,FG,NA,2004,NA,NA,Beneteau (FRA),Groupe Finot,2.79 ft / 0.85 m,NA,NA
Juno,Fin w/spade rudder,Gaffhead Sloop,22.24 ft / 6.78 m,17.88 ft / 5.45 m,198.00 ft² / 18.39 m²,6.56 ft / 2.00 m,"3,100.00 lb / 1,406 kg",NA,3.12 ft / 0.95 m,Plywood,NA,1951,NA,NA,NA,E.G. van de Stadt,NA,NA,NA
Picoteux,Long keel w/trans. hung rudder,Fractional Sloop,16.47 ft / 5.02 m,14.14 ft / 4.31 m,140.00 ft² / 13.01 m²,6.23 ft / 1.90 m,"1,069.00 lb / 485 kg",441.00 lb / 200 kg,2.20 ft / 0.67 m,FG,NA,1963,NA,NA,Jouët,NA,NA,NA,NA
Navigator (Newbridge),Keel/Cbrd.,Masthead Sloop,19.03 ft / 5.80 m,16.73 ft / 5.10 m,NA,7.55 ft / 2.30 m,"1,953.00 lb / 886 kg",NA,3.61 ft / 1.10 m,FG,Iron,1977,NA,NA,Newbridge Boats Ltd.,Robert Tucker,1.97 ft / 0.60 m,NA,NA
Compromis 777,Fin w/spade rudder,Masthead Sloop,25.82 ft / 7.87 m,21.82 ft / 6.65 m,278.00 ft² / 25.83 m²,9.12 ft / 2.78 m,"5,071.00 lb / 2,300 kg","2,205.00 lb / 1,000 kg",4.10 ft / 1.25 m,FG,NA,1977,2001,472,Jachtwerf Zaadnoordijk BV (NED),Frans Maas,NA,NA,NA
Tylercraft 17,Fin Keel,Masthead Sloop,17.00 ft / 5.18 m,14.00 ft / 4.27 m,130.00 ft² / 12.08 m²,7.00 ft / 2.13 m,"1,500.00 lb / 680 kg",NA,2.10 ft / 0.64 m,FG,Iron,1968,NA,NA,Tylercraft Inc. (USA),Ted Tyler,NA,NA,NA
Pennant Daysailer,Dbrd. Dinghy,Fractional Sloop,10.00 ft / 3.05 m,NA,60.00 ft² / 5.57 m²,5.00 ft / 1.52 m,170.00 lb / 77 kg,NA,1.67 ft / 0.51 m,FG,NA,1993,NA,NA,American Sail Inc.,NA,0.50 ft / 0.15 m,NA,NA
American 18,Centerboard Dinghy,Fractional Sloop,17.75 ft / 5.41 m,16.50 ft / 5.03 m,150.00 ft² / 13.94 m²,7.00 ft / 2.13 m,570.00 lb / 259 kg,NA,4.16 ft / 1.27 m,FG,NA,1996,NA,NA,American Sail Inc.,NA,0.75 ft / 0.23 m,NA,NA
Naiad 18,Centerboard (Trunk),Cat (unstayed),18.25 ft / 5.56 m,17.50 ft / 5.33 m,144.00 ft² / 13.38 m²,6.00 ft / 1.83 m,"1,100.00 lb / 499 kg",550.00 lb / 249 kg,3.67 ft / 1.12 m,FG,NA,1984,NA,NA,Luna Yachts,Mark Ellis,0.67 ft / 0.20 m,NA,NA
Hallberg-Rassy 36,Fin with rudder on skeg,Masthead Sloop,35.66 ft / 10.87 m,28.61 ft / 8.72 m,677.00 ft² / 62.90 m²,11.65 ft / 3.55 m,"16,534.00 lb / 7,500 kg","7,496.00 lb / 3,400 kg",6.14 ft / 1.87 m,FG,Lead,1989,2003,602,Hallberg-Rassy,German Frers,NA,NA,NA
Streamline,Fin Keel w/bulb,Fractional Sloop,23.46 ft / 7.15 m,NA,357.00 ft² / 33.17 m²,8.37 ft / 2.55 m,"1,312.00 lb / 595 kg",573.00 lb / 260 kg,5.25 ft / 1.60 m,FG,NA,1999,NA,NA,Mader,Judel/Vrolijk,NA,NA,NA
Nipper (Uk),Centerboard Dinghy,Fractional Sloop,9.50 ft / 2.90 m,NA,59.00 ft² / 5.48 m²,4.42 ft / 1.35 m,160.00 lb / 73 kg,NA,2.92 ft / 0.89 m,FG,NA,1955,NA,NA,Ever Ready Metal Company (UK),NA,NA,NA,NA
Topaz (Newbridge),Twin Keel,Fractional Sloop,17.50 ft / 5.33 m,16.00 ft / 4.88 m,125.00 ft² / 11.61 m²,6.50 ft / 1.98 m,800.00 lb / 363 kg,NA,1.67 ft / 0.51 m,FG,NA,1965,NA,NA,Newbridge Yachts Ltd.  / Leisurecraft (UK),Whistance,NA,NA,NA
Spinner 28 (Newbridge),Fin with rudder on skeg,Masthead Sloop,27.56 ft / 8.40 m,23.95 ft / 7.30 m,NA,9.84 ft / 3.00 m,"5,600.00 lb / 2,540 kg","1,160.00 lb / 526 kg",4.59 ft / 1.40 m,FG,NA,1974,NA,NA,Newbridge Yachts Ltd. (UK),Mike Henderson,NA,NA,NA
Cornish Shrimper 19,Keel/Cbrd.,Gaffhead Sloop,19.25 ft / 5.87 m,17.50 ft / 5.33 m,194.00 ft² / 18.02 m²,7.17 ft / 2.19 m,"2,350.00 lb / 1,066 kg",700.00 lb / 318 kg,4.00 ft / 1.22 m,GRP,NA,1979,NA,1000,Cornish Crabbers (UK),Roger Dongray,1.50 ft / 0.46 m,NA,NA
Crabber 17,Keel/Cbrd.,Gaffhead Sloop,17.00 ft / 5.18 m,16.00 ft / 4.88 m,178.00 ft² / 16.54 m²,6.75 ft / 2.06 m,"1,934.00 lb / 877 kg",NA,4.00 ft / 1.22 m,FG,NA,1992,NA,100,Cornish Crabbers LLC (UK),Roger Dongay,1.58 ft / 0.48 m,NA,NA
Copperhead 14,Centerboard Dinghy,Gunter,13.75 ft / 4.19 m,NA,85.00 ft² / 7.90 m²,4.42 ft / 1.35 m,135.00 lb / 61 kg,NA,2.33 ft / 0.71 m,FG,NA,1970,NA,NA,Sail MFG (USA),Rod McAlpine-Downie/Dick Gibbs,0.33 ft / 0.10 m,NA,NA
Javelin 14 (Fox) Fk,Fin Keel w/bulb,Fractional Sloop,14.00 ft / 4.27 m,13.17 ft / 4.01 m,125.00 ft² / 11.61 m²,5.67 ft / 1.73 m,495.00 lb / 225 kg,195.00 lb / 88 kg,2.00 ft / 0.61 m,FG,Iron,1960,NA,NA,O'Day Corp. (USA),Uffa Fox,NA,NA,NA
Kitten (O'day),Dbrd. Dinghy,Lateen,10.16 ft / 3.10 m,NA,42.00 ft² / 3.90 m²,3.00 ft / 0.91 m,65.00 lb / 29 kg,NA,1.83 ft / 0.56 m,FG,NA,1962,1965,1200,O'Day Corp. (USA),NA,0.16 ft / 0.05 m,NA,NA
Meteor 14 (Sailstar),Centerboard Dinghy,Fractional Sloop,14.00 ft / 4.27 m,13.16 ft / 4.01 m,121.00 ft² / 11.24 m²,5.83 ft / 1.78 m,375.00 lb / 170 kg,NA,3.75 ft / 1.14 m,FG,NA,1961,NA,NA,Sailstar Boats (USA),Robert H. Baker,0.50 ft / 0.15 m,NA,NA
Spirit 26 (Westerly),Twin Keel,Masthead Sloop,25.83 ft / 7.87 m,21.67 ft / 6.61 m,240.00 ft² / 22.30 m²,8.83 ft / 2.69 m,"4,840.00 lb / 2,195 kg","2,315.00 lb / 1,050 kg",3.08 ft / 0.94 m,FG,Iron,1992,1993,14,Westerly (UK),Ed Dubois,NA,NA,NA
Westcoaster 20,Twin Keel,Gunter,20.00 ft / 6.10 m,16.50 ft / 5.03 m,188.00 ft² / 17.47 m²,6.92 ft / 2.11 m,"2,000.00 lb / 907 kg",600.00 lb / 272 kg,1.83 ft / 0.56 m,Plywood (double chine),NA,1960,NA,60,Beacon Boats Co. Ltd. (UK),Denys Rayner,NA,NA,NA
Medway 36 (Westerly),Fin with rudder on skeg,Masthead Ketch,35.75 ft / 10.90 m,30.42 ft / 9.27 m,502.00 ft² / 46.64 m²,11.16 ft / 3.40 m,"16,125.00 lb / 7,314 kg","7,167.00 lb / 3,251 kg",6.00 ft / 1.83 m,FG,NA,1976,1982,26,Westerly Marine Contruction Ltd. (UK),Laurent Giles,NA,NA,NA
Typhoon 37 (Westerly),Fin w/spade rudder,Fractional Sloop,37.33 ft / 11.38 m,31.92 ft / 9.73 m,860.00 ft² / 79.90 m²,12.33 ft / 3.76 m,"16,470.00 lb / 7,471 kg","6,050.00 lb / 2,744 kg",6.00 ft / 1.83 m,FG,NA,1990,1993,40,Westerly Marine Contruction Ltd. (UK),Ed Dubois,NA,NA,NA
Regatta  370  (Westerly),Fin w/spade rudder,Fractional Sloop,37.33 ft / 11.38 m,31.92 ft / 9.73 m,NA,12.33 ft / 3.76 m,"16,470.00 lb / 7,471 kg","6,050.00 lb / 2,744 kg",6.00 ft / 1.83 m,FG,NA,1994,1997,8,Westerly Marine Contruction Ltd. (UK),Ed Dubois,NA,NA,NA
Merlin 29 (Westerly),Fin w/spade rudder,Fractional Sloop,29.00 ft / 8.84 m,23.58 ft / 7.19 m,331.00 ft² / 30.75 m²,9.92 ft / 3.02 m,"7,694.00 lb / 3,490 kg","2,987.00 lb / 1,355 kg",5.00 ft / 1.52 m,FG,NA,1990,1993,21,Westerly Marine Ltd. (UK),Ed Dubois,NA,NA,NA
Speedball 14,Centerboard Dinghy,Fractional Sloop,14.25 ft / 4.34 m,13.50 ft / 4.11 m,128.00 ft² / 11.89 m²,5.75 ft / 1.75 m,225.00 lb / 102 kg,NA,3.00 ft / 0.91 m,FG,NA,1980,NA,NA,Laguna Yachts (USA),W. Shad Turner,0.33 ft / 0.10 m,NA,NA
Drifter 17,Swing Keel,Fractional Sloop,18.67 ft / 5.69 m,14.25 ft / 4.34 m,149.00 ft² / 13.84 m²,6.58 ft / 2.01 m,"1,100.00 lb / 499 kg",400.00 lb / 181 kg,4.00 ft / 1.22 m,FG,NA,1980,NA,NA,Drifter Marine (USA),Michael Schallmann,1.83 ft / 0.56 m,NA,NA
Etap 22i,Lifting Keel,Fractional Sloop,22.24 ft / 6.78 m,18.04 ft / 5.50 m,183.00 ft² / 17.00 m²,8.10 ft / 2.47 m,"2,149.00 lb / 975 kg",518.00 lb / 235 kg,4.10 ft / 1.25 m,FG,NA,1983,1996,550,Etap Yachting (BEL),Jacques de Ridder,1.31 ft / 0.40 m,NA,NA
Etap 35i,Fin Keel,Fractional Sloop,34.84 ft / 10.62 m,29.00 ft / 8.84 m,NA,11.52 ft / 3.51 m,"11,464.00 lb / 5,200 kg","3,836.00 lb / 1,740 kg",5.09 ft / 1.55 m,FG,NA,1992,NA,NA,Etap Yachting,NA,NA,NA,NA
Salt 19,Long keel w/trans. hung rudder,Gaffhead Sloop,19.00 ft / 5.79 m,16.83 ft / 5.13 m,201.00 ft² / 18.67 m²,7.00 ft / 2.13 m,"2,700.00 lb / 1,225 kg","1,000.00 lb / 454 kg",2.00 ft / 0.61 m,FG,NA,1977,NA,NA,Salt Marine Inc. (USA),NA,NA,NA,NA
Matthews Sailor,Long Keel,Fractional Sloop,25.58 ft / 7.80 m,22.42 ft / 6.83 m,302.00 ft² / 28.06 m²,8.50 ft / 2.59 m,"7,000.00 lb / 3,175 kg","1,900.00 lb / 862 kg",2.67 ft / 0.81 m,Wood,NA,1933,NA,NA,The Matthews Co. (USA),William Atkin,NA,NA,NA
Mach Ii,Dbrd. Dinghy,Lateen,13.83 ft / 4.22 m,NA,82.00 ft² / 7.62 m²,4.04 ft / 1.23 m,90.00 lb / 41 kg,NA,1.08 ft / 0.33 m,ABS/Corelite,NA,1976,1982,NA,Snark Products (USA),NA,NA,NA,NA
Islands 17,Centerboard Dinghy,Fractional Sloop,16.75 ft / 5.11 m,15.83 ft / 4.82 m,135.00 ft² / 12.54 m²,6.50 ft / 1.98 m,575.00 lb / 261 kg,NA,3.50 ft / 1.07 m,FG,NA,1972,NA,NA,Ocean Yachts / Sumner Boat Co. (USA),Johann Tanzer,0.58 ft / 0.18 m,NA,NA
Leisure 27sl,Twin Keel,Masthead Sloop,25.42 ft / 7.75 m,21.00 ft / 6.40 m,NA,9.42 ft / 2.87 m,"6,000.00 lb / 2,722 kg","2,850.00 lb / 1,293 kg",3.50 ft / 1.07 m,FG,NA,1979,NA,NA,Thames Marine (UK),NA,NA,NA,NA
Koralle Jr. (Kolibri),Dbrd. Dinghy,Fractional Sloop,12.00 ft / 3.66 m,11.42 ft / 3.48 m,82.00 ft² / 7.62 m²,4.92 ft / 1.50 m,130.00 lb / 59 kg,NA,2.25 ft / 0.69 m,FG,NA,1970,NA,NA,Atlanta Bootsbau (GER),NA,0.33 ft / 0.10 m,NA,NA
Alajuela 38 Mkii,Long keel w/trans. hung rudder,Cutter,38.00 ft / 11.58 m,32.58 ft / 9.93 m,880.00 ft² / 81.75 m²,11.50 ft / 3.51 m,"27,000.00 lb / 12,247 kg","10,000.00 lb / 4,536 kg",5.58 ft / 1.70 m,FG,Lead,1977,NA,NA,Alajuela Yacht Corp. (USA),Colin Archer/William Atkin,NA,NA,NA
Conquest (Sailstar),Keel/CB & spade rudder,Fractional Sloop,19.20 ft / 5.85 m,17.08 ft / 5.21 m,186.00 ft² / 17.28 m²,6.79 ft / 2.07 m,"1,750.00 lb / 794 kg",NA,3.92 ft / 1.19 m,FG,NA,1967,1968,NA,Sailstar Boats/Bristol Yachts (USA),Paul Coble,1.58 ft / 0.48 m,NA,NA
Nimble 20,Keel/Cbrd.,Fractionally Rigged Ketch,20.92 ft / 6.38 m,19.75 ft / 6.02 m,207.00 ft² / 19.23 m²,7.75 ft / 2.36 m,"1,854.00 lb / 841 kg",400.00 lb / 181 kg,4.08 ft / 1.24 m,FG,Lead,1986,NA,NA,Nimble Boats (USA),Ted Brewer,0.92 ft / 0.28 m,NA,NA
Nimble 30,Fin with rudder on skeg,Masthead Yawl,29.92 ft / 9.12 m,25.67 ft / 7.82 m,450.00 ft² / 41.81 m²,9.33 ft / 2.84 m,"6,500.00 lb / 2,948 kg","2,450.00 lb / 1,111 kg",4.50 ft / 1.37 m,FG,Lead,1985,NA,NA,Nimble Boats (USA),Ted Brewer,NA,NA,NA
Nimble 24,Keel/Cbrd.,Masthead Ketch,24.20 ft / 7.38 m,21.25 ft / 6.48 m,252.00 ft² / 23.41 m²,8.25 ft / 2.51 m,"3,000.00 lb / 1,361 kg",900.00 lb / 408 kg,3.00 ft / 0.91 m,FG,Lead,1988,NA,NA,Nimble Boats (USA),Ted Brewer,1.33 ft / 0.41 m,NA,NA
C&C 37/40+,Fin w/spade rudder,Masthead Sloop,39.50 ft / 12.04 m,31.83 ft / 9.70 m,770.00 ft² / 71.54 m²,12.58 ft / 3.83 m,"16,700.00 lb / 7,575 kg","7,000.00 lb / 3,175 kg",7.25 ft / 2.21 m,FG,Lead,1988,1997,NA,C&C International,Robert Ball,NA,NA,NA
C&C 37/40 Xl,Fin w/spade rudder,Masthead Sloop,39.50 ft / 12.04 m,31.83 ft / 9.70 m,794.00 ft² / 73.77 m²,12.58 ft / 3.83 m,"15,700.00 lb / 7,121 kg","7,200.00 lb / 3,266 kg",8.16 ft / 2.49 m,FG,Lead,1989,1997,NA,C&C Yachts,Robert Ball,NA,NA,NA
Trintella Iiia,Long Keel,Masthead Ketch,35.24 ft / 10.74 m,28.21 ft / 8.60 m,577.00 ft² / 53.61 m²,10.50 ft / 3.20 m,"16,535.00 lb / 7,500 kg","6,173.00 lb / 2,800 kg",4.82 ft / 1.47 m,FG,NA,1972,1979,60,Anne Wever Shipyard,E.G. van de Stadt,NA,NA,NA
Trintella Iii,Long Keel,Masthead Ketch,35.24 ft / 10.74 m,28.21 ft / 8.60 m,577.00 ft² / 53.61 m²,10.50 ft / 3.20 m,"16,535.00 lb / 7,500 kg","6,173.00 lb / 2,800 kg",4.59 ft / 1.40 m,FG,Iron,1969,1979,135,Anne Wever Shipyard (NL),E.G. van de Stadt,NA,NA,NA
Sea Pearl 21 (Tri),Trimaran Cbrd.,Cat Ketch (unstayed),21.00 ft / 6.40 m,19.00 ft / 5.79 m,166.00 ft² / 15.42 m²,14.00 ft / 4.27 m,950.00 lb / 431 kg,NA,2.67 ft / 0.81 m,FG,NA,1993,NA,NA,Marine Concepts (USA),Marine Concepts,0.67 ft / 0.20 m,NA,NA
Duellist 32,Keel/Cbrd.,Masthead Sloop,32.15 ft / 9.80 m,28.54 ft / 8.70 m,NA,10.83 ft / 3.30 m,"13,228.00 lb / 6,000 kg",NA,6.23 ft / 1.90 m,FG,NA,1973,NA,NA,Lifeline Moulding Co Ltd (UK),Alan Hill,3.61 ft / 1.10 m,NA,NA
Brightlingsea One Design,Centerboard Dinghy,Fractional Sloop,18.00 ft / 5.49 m,NA,219.00 ft² / 20.35 m²,6.15 ft / 1.87 m,"1,375.00 lb / 624 kg",NA,NA,Wood - clinker,NA,1927,NA,60,D. Stone & Sons (UK),Robert Stone,0.90 ft / 0.27 m,NA,NA
Snapdragon 747,Twin Keel,Masthead Sloop,24.50 ft / 7.47 m,20.50 ft / 6.25 m,NA,8.00 ft / 2.44 m,"3,700.00 lb / 1,678 kg","1,550.00 lb / 703 kg",2.50 ft / 0.76 m,FG,NA,1964,NA,NA,Thames Marine (UK),Thames Structural Plastics/Thames Marine,NA,NA,NA
Australis Catamaran,Catamaran Twin Dbrd.,Cat (rotating spar),18.00 ft / 5.49 m,17.83 ft / 5.43 m,150.00 ft² / 13.94 m²,7.50 ft / 2.29 m,147.00 lb / 67 kg,NA,3.00 ft / 0.91 m,Wood/FG,NA,1966,NA,NA,NA,Graham Johnston,0.50 ft / 0.15 m,NA,NA
Navaho 46,Catamaran Twin Keel,Cutter,46.00 ft / 14.02 m,NA,940.00 ft² / 87.33 m²,20.00 ft / 6.10 m,"45,000.00 lb / 20,412 kg",NA,2.00 ft / 0.61 m,FG,NA,1972,NA,NA,Sailcraft Ltd. (UK),Rod Macalpine-Downie,NA,NA,NA
Norseman 400 (Grant),Fin with rudder on skeg,Masthead Sloop,40.00 ft / 12.19 m,35.83 ft / 10.92 m,766.00 ft² / 71.16 m²,13.33 ft / 4.06 m,"19,000.00 lb / 8,618 kg","7,600.00 lb / 3,447 kg",5.33 ft / 1.62 m,FG,NA,1980,NA,NA,Norseman Yachts Inc.,Gary Grant,NA,NA,NA
First 31.7 (Beneteau),Fin w/bulb & spade rudder,Fractional Sloop,31.53 ft / 9.61 m,28.87 ft / 8.80 m,447.00 ft² / 41.53 m²,10.60 ft / 3.23 m,"8,267.00 lb / 3,750 kg","2,260.00 lb / 1,025 kg",6.23 ft / 1.90 m,FG,Iron,1998,NA,NA,Beneteau,Finot,NA,NA,NA
Moody 46,Fin w/spade rudder,Cutter,46.13 ft / 14.06 m,39.37 ft / 12.00 m,945.00 ft² / 87.79 m²,14.44 ft / 4.40 m,"31,945.00 lb / 14,490 kg","10,362.00 lb / 4,700 kg",6.76 ft / 2.06 m,FG,NA,1997,2001,55,Moody,Bill Dixon,NA,NA,NA
Gib'sea 282,Keel/Cbrd.,Masthead Sloop,27.58 ft / 8.41 m,23.25 ft / 7.09 m,318.00 ft² / 29.54 m²,10.33 ft / 3.15 m,"6,325.00 lb / 2,869 kg","2,100.00 lb / 953 kg",5.33 ft / 1.62 m,FG,NA,1988,NA,NA,Gilbert Marine (FRA),M. Dufour,2.00 ft / 0.61 m,NA,NA
Presto 30,Centerboard (Trunk),Cat Ketch (unstayed),30.00 ft / 9.14 m,28.75 ft / 8.76 m,400.00 ft² / 37.16 m²,8.45 ft / 2.58 m,"3,950.00 lb / 1,792 kg","1,000.00 lb / 454 kg",5.75 ft / 1.75 m,FG,NA,2009,NA,NA,Union River Boat Co. (USA),Rodger Martin,1.12 ft / 0.34 m,NA,NA
Carter 25 Dingbat,Fin w/spade rudder,Masthead Sloop,24.78 ft / 7.55 m,20.00 ft / 6.10 m,513.00 ft² / 47.66 m²,9.83 ft / 3.00 m,"3,943.00 lb / 1,789 kg","1,600.00 lb / 726 kg",4.92 ft / 1.50 m,FG,Lead,1977,NA,NA,Carter Offshore,Dick Carter,NA,NA,NA
Seafarer 36c Sloop,Long Keel,Masthead Sloop,36.33 ft / 11.07 m,26.25 ft / 8.00 m,525.00 ft² / 48.77 m²,10.50 ft / 3.20 m,"16,350.00 lb / 7,416 kg","5,500.00 lb / 2,495 kg",4.50 ft / 1.37 m,FG,NA,1968,NA,NA,Seafarer Yachts,Philip Rhodes,NA,NA,NA
Cygnus 20 Fk,Fin w/transom hung rudder,Fractional Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,178.00 ft² / 16.54 m²,7.00 ft / 2.13 m,950.00 lb / 431 kg,140.00 lb / 64 kg,2.75 ft / 0.84 m,FG,Iron,1965,NA,NA,Hinterholler Ltd./Clarkcraft /Skene Boats Ltd. (CAN),George Hinterhoeller,NA,NA,NA
Hr 20 (Cygnus),Centerboard (Trunk),Fractional Sloop,20.00 ft / 6.10 m,17.50 ft / 5.33 m,NA,7.00 ft / 2.13 m,600.00 lb / 272 kg,NA,2.67 ft / 0.81 m,FG,NA,1963,NA,NA,Hinterholler Ltd. /Skene Boats Ltd. (CAN),George Hinterhoeller,0.67 ft / 0.20 m,NA,NA
Rival 31,Fin with rudder on skeg,Masthead Sloop,31.00 ft / 9.45 m,24.50 ft / 7.47 m,NA,9.67 ft / 2.95 m,"11,200.00 lb / 5,080 kg","4,480.00 lb / 2,032 kg",4.67 ft / 1.42 m,FG,NA,1969,NA,NA,Marine Construction (UK),Peter Brett,NA,NA,NA
Rival 41 Cc,Fin with rudder on skeg,Masthead Ketch,40.58 ft / 12.37 m,32.67 ft / 9.96 m,NA,12.17 ft / 3.71 m,"22,046.00 lb / 10,000 kg",NA,5.90 ft / 1.80 m,FG,NA,1973,NA,NA,Southern Boatbuilding Co. (UK),Peter Brett,NA,NA,NA
Challenger 35 (Usa),Fin Keel,Masthead Sloop,35.67 ft / 10.87 m,30.00 ft / 9.14 m,526.00 ft² / 48.87 m²,11.50 ft / 3.51 m,"13,800.00 lb / 6,260 kg","4,200.00 lb / 1,905 kg",4.50 ft / 1.37 m,FG,Lead,1968,NA,NA,Challenger Yacht Corp. (USA),NA,NA,NA,NA
Cygnet 33,Long Keel,Masthead Sloop,33.04 ft / 10.07 m,25.00 ft / 7.62 m,538.00 ft² / 49.98 m²,11.00 ft / 3.35 m,"14,000.00 lb / 6,350 kg","5,000.00 lb / 2,268 kg",4.50 ft / 1.37 m,FG,NA,1978,NA,NA,CSY Yacht Corp. (USA),Peter Schmitt,NA,NA,NA
