Model,Hull Type,Rigging Type,LOA,LWL,S.A. (reported),Beam,Displacement,Ballast,Max Draft,Construction,Ballast Type,First Built,Last Built,# Built,Builder,Designer,Min Draft,LOD,Beam WL
Wauquiez Pilot Saloon 58,Fin w/bulb & spade rudder,Fractional Sloop,58.07 ft / 17.70 m,51.31 ft / 15.64 m,"1,431.60 ft² / 133.00 m²",16.24 ft / 4.95 m,"48,502.00 lb / 22,000 kg","15,212.00 lb / 6,900 kg",7.55 ft / 2.30 m,FG (vacuum infusion) w/balsa core,Cast iron,2016,NA,NA,Wauquiez Boats,Berret-Racoupeau,NA,NA,NA
Luffe 40.04,Fin w/spade rudder,Fractional Sloop,39.37 ft / 12.00 m,35.43 ft / 10.80 m,828.81 ft² / 77.00 m²,11.15 ft / 3.40 m,"13,228.00 lb / 6,000 kg","5,291.00 lb / 2,400 kg",6.82 ft / 2.08 m,FG w/foam core,Lead,2004,2018,70,Luffe Yachts (DEN),Oluf Jørgensen,NA,NA,NA
Luffe 40.20,Fin w/bulb & spade rudder,Fractional Sloop,40.03 ft / 12.20 m,35.43 ft / 10.80 m,828.82 ft² / 77.00 m²,11.15 ft / 3.40 m,"14,330.00 lb / 6,500 kg","5,291.00 lb / 2,400 kg",6.82 ft / 2.08 m,FG with foam core + steel frame,Lead,2019,NA,NA,Luffe Yachts (DEN),Oluf Jørgensen,NA,NA,NA
Najad 400/405,Fin w/rudder on partial skeg,Fractional Sloop,40.03 ft / 12.20 m,34.25 ft / 10.44 m,850.35 ft² / 79.00 m²,12.63 ft / 3.85 m,"26,896.00 lb / 12,200 kg","8,818.00 lb / 4,000 kg",6.56 ft / 2.00 m,FG with ISO polyester,Lead,2003,2009,NA,Najad Yachts (SWE),judel/vrolijk,NA,NA,NA
Cabo Rico 36,Long Keel,Cutter,38.58 ft / 11.76 m,26.83 ft / 8.18 m,624.00 ft² / 57.97 m²,11.00 ft / 3.35 m,"17,400.00 lb / 7,893 kg","5,900.00 lb / 2,676 kg",4.83 ft / 1.47 m,FG,NA,1988,NA,NA,"Cabo Rico Yachts, Inc.",W.I.B. Crealock,NA,NA,NA
Cabo Rico 42 Pilot,Long Keel,Cutter,46.50 ft / 14.17 m,32.17 ft / 9.81 m,909.00 ft² / 84.45 m²,12.67 ft / 3.86 m,"26,939.00 lb / 12,219 kg","10,400.00 lb / 4,717 kg",5.25 ft / 1.60 m,FG,Lead,2005,NA,NA,Cabo Rico,Chuck Paine/Ed Joy,NA,NA,NA
Diva 34 Sc,Fin w/bulb & spade rudder,Fractional Sloop,33.89 ft / 10.33 m,30.22 ft / 9.21 m,731.95 ft² / 68.00 m²,11.42 ft / 3.48 m,"10,031.00 lb / 4,550 kg","3,527.00 lb / 1,600 kg",NA,FG w/ Divinycell sandwich core,NA,2017,NA,NA,Fabola Yachts (SWE),Bernt Lindquist,NA,NA,NA
Diva 24 Dc,Swing keel w/outboard rudder,Fractional Sloop,24.74 ft / 7.54 m,23.82 ft / 7.26 m,290.63 ft² / 27.00 m²,8.33 ft / 2.54 m,"2,205.00 lb / 1,000 kg",661.00 lb / 300 kg,6.10 ft / 1.86 m,FG,NA,2012,NA,NA,Fabola Yachts (SWE),Bernt Lindquist,0.92 ft / 0.28 m,NA,NA
Campus 7.4,Swing keel w/outboard rudder,Fractional Sloop,24.44 ft / 7.45 m,23.82 ft / 7.26 m,284.17 ft² / 26.40 m²,8.33 ft / 2.54 m,"2,205.00 lb / 1,000 kg",728.00 lb / 330 kg,6.10 ft / 1.86 m,FG,Galvanized iron,2012,NA,NA,Fabola Yachts (SWE),Bernt Lindquist,0.92 ft / 0.28 m,NA,NA
Finntern 35 Motorsailer,Long Keel,Masthead Ketch,34.78 ft / 10.60 m,31.17 ft / 9.50 m,613.54 ft² / 57.00 m²,10.50 ft / 3.20 m,"16,535.00 lb / 7,500 kg",NA,3.94 ft / 1.20 m,GRP,NA,1975,NA,NA,"OY Kinetik, LTD",Hary Becker,NA,NA,NA
